#================================================
# StripesCounter v07
# File: BEL17-2-2_1.66x_milieu0001.png
# Detected scale value: 6
# Detected scale length in pixel: 1389
# Point1: [936, 1317]
# Point2: [1039, 1497]
# Number of stripes:  12
# Length of stripes: 0.79430  (first: 0.02170, last: 0.81600)
# Growth stripe rate (µm/stripe): 66.19144
#================================================
n,xpos,ypos1,ypos2,peak
1,0.00000,136.00000,-999.00000,0
2,0.00434,136.00000,-999.00000,0
3,0.00868,139.00000,-999.00000,0
4,0.01302,143.00000,143.42857,0
5,0.01736,151.00000,145.00000,0
6,0.02170,150.00000,145.57143,1
7,0.02604,149.00000,145.14286,0
8,0.03038,147.00000,143.42857,0
9,0.03472,140.00000,140.00000,0
10,0.03906,136.00000,136.57143,0
11,0.04340,131.00000,133.71429,0
12,0.04774,127.00000,131.00000,0
13,0.05209,126.00000,129.57143,0
14,0.05643,129.00000,129.00000,0
15,0.06077,128.00000,129.42857,0
16,0.06511,130.00000,130.85714,0
17,0.06945,132.00000,132.57143,0
18,0.07379,134.00000,133.57143,0
19,0.07813,137.00000,134.42857,0
20,0.08247,138.00000,135.00000,1
21,0.08681,136.00000,134.42857,0
22,0.09115,134.00000,132.57143,0
23,0.09549,134.00000,129.42857,0
24,0.09983,128.00000,126.57143,0
25,0.10417,121.00000,123.71429,0
26,0.10851,115.00000,121.28571,0
27,0.11285,118.00000,118.85714,0
28,0.11719,116.00000,117.57143,0
29,0.12153,117.00000,117.57143,0
30,0.12587,117.00000,119.14286,0
31,0.13021,119.00000,121.00000,0
32,0.13455,121.00000,124.14286,0
33,0.13889,126.00000,127.85714,0
34,0.14323,131.00000,131.00000,0
35,0.14757,138.00000,133.85714,0
36,0.15191,143.00000,135.85714,0
37,0.15626,139.00000,136.28571,1
38,0.16060,139.00000,134.57143,0
39,0.16494,135.00000,131.85714,0
40,0.16928,129.00000,128.42857,0
41,0.17362,119.00000,125.85714,0
42,0.17796,119.00000,123.28571,0
43,0.18230,119.00000,121.57143,0
44,0.18664,121.00000,121.00000,0
45,0.19098,121.00000,122.14286,0
46,0.19532,123.00000,123.57143,0
47,0.19966,125.00000,125.85714,0
48,0.20400,127.00000,128.28571,0
49,0.20834,129.00000,131.57143,0
50,0.21268,135.00000,134.57143,0
51,0.21702,138.00000,137.28571,0
52,0.22136,144.00000,139.00000,0
53,0.22570,144.00000,139.57143,1
54,0.23004,144.00000,137.71429,0
55,0.23438,139.00000,135.00000,0
56,0.23872,133.00000,130.85714,0
57,0.24306,122.00000,127.14286,0
58,0.24740,119.00000,123.28571,0
59,0.25174,115.00000,120.14286,0
60,0.25608,118.00000,118.42857,0
61,0.26043,117.00000,119.00000,0
62,0.26477,117.00000,120.42857,0
63,0.26911,121.00000,123.28571,0
64,0.27345,126.00000,126.57143,0
65,0.27779,129.00000,129.71429,0
66,0.28213,135.00000,133.71429,0
67,0.28647,141.00000,136.42857,0
68,0.29081,139.00000,138.00000,0
69,0.29515,145.00000,139.28571,1
70,0.29949,140.00000,138.57143,0
71,0.30383,137.00000,136.85714,0
72,0.30817,138.00000,135.42857,0
73,0.31251,130.00000,133.14286,0
74,0.31685,129.00000,131.71429,0
75,0.32119,129.00000,131.00000,0
76,0.32553,129.00000,130.42857,0
77,0.32987,130.00000,131.28571,0
78,0.33421,132.00000,132.71429,0
79,0.33855,134.00000,134.57143,0
80,0.34289,136.00000,136.42857,0
81,0.34723,139.00000,138.28571,0
82,0.35157,142.00000,139.57143,0
83,0.35591,142.00000,140.42857,1
84,0.36026,143.00000,140.14286,0
85,0.36460,141.00000,139.85714,0
86,0.36894,140.00000,138.85714,0
87,0.37328,134.00000,138.00000,0
88,0.37762,137.00000,136.71429,0
89,0.38196,135.00000,135.85714,0
90,0.38630,136.00000,135.42857,0
91,0.39064,134.00000,136.14286,0
92,0.39498,135.00000,136.85714,0
93,0.39932,137.00000,138.00000,0
94,0.40366,139.00000,138.85714,0
95,0.40800,142.00000,140.14286,0
96,0.41234,143.00000,141.57143,0
97,0.41668,142.00000,143.28571,0
98,0.42102,143.00000,144.85714,0
99,0.42536,145.00000,145.71429,0
100,0.42970,149.00000,146.28571,0
101,0.43404,150.00000,146.42857,1
102,0.43838,148.00000,146.42857,0
103,0.44272,147.00000,146.14286,0
104,0.44706,143.00000,145.14286,0
105,0.45140,143.00000,144.14286,0
106,0.45574,143.00000,143.71429,0
107,0.46008,142.00000,144.00000,0
108,0.46443,143.00000,145.42857,0
109,0.46877,145.00000,147.14286,0
110,0.47311,149.00000,148.85714,0
111,0.47745,153.00000,151.00000,0
112,0.48179,155.00000,151.85714,1
113,0.48613,155.00000,151.14286,0
114,0.49047,157.00000,148.71429,0
115,0.49481,149.00000,144.85714,0
116,0.49915,140.00000,141.14286,0
117,0.50349,132.00000,137.42857,0
118,0.50783,126.00000,133.28571,0
119,0.51217,129.00000,130.00000,0
120,0.51651,129.00000,128.14286,0
121,0.52085,128.00000,127.57143,0
122,0.52519,126.00000,128.85714,0
123,0.52953,127.00000,130.00000,0
124,0.53387,128.00000,132.00000,0
125,0.53821,135.00000,133.85714,0
126,0.54255,137.00000,137.57143,0
127,0.54689,143.00000,141.57143,0
128,0.55123,141.00000,145.14286,0
129,0.55557,152.00000,147.42857,0
130,0.55991,155.00000,148.42857,1
131,0.56425,153.00000,148.14286,0
132,0.56860,151.00000,148.14286,0
133,0.57294,144.00000,145.42857,0
134,0.57728,141.00000,141.71429,0
135,0.58162,141.00000,138.00000,0
136,0.58596,133.00000,135.14286,0
137,0.59030,129.00000,133.42857,0
138,0.59464,127.00000,132.42857,0
139,0.59898,131.00000,132.28571,0
140,0.60332,132.00000,133.28571,0
141,0.60766,134.00000,135.14286,0
142,0.61200,140.00000,138.00000,0
143,0.61634,140.00000,140.85714,0
144,0.62068,142.00000,143.42857,0
145,0.62502,147.00000,145.00000,1
146,0.62936,151.00000,144.71429,0
147,0.63370,150.00000,144.42857,0
148,0.63804,145.00000,143.14286,0
149,0.64238,138.00000,139.57143,0
150,0.64672,138.00000,136.00000,0
151,0.65106,133.00000,132.71429,0
152,0.65540,122.00000,130.00000,0
153,0.65974,126.00000,128.57143,0
154,0.66408,127.00000,127.71429,0
155,0.66842,126.00000,127.85714,0
156,0.67277,128.00000,129.71429,0
157,0.67711,132.00000,131.57143,0
158,0.68145,134.00000,133.71429,0
159,0.68579,135.00000,136.57143,0
160,0.69013,139.00000,139.14286,0
161,0.69447,142.00000,142.42857,0
162,0.69881,146.00000,145.42857,0
163,0.70315,146.00000,145.71429,1
164,0.70749,155.00000,144.42857,0
165,0.71183,155.00000,142.71429,0
166,0.71617,137.00000,140.14286,0
167,0.72051,130.00000,137.71429,0
168,0.72485,130.00000,133.57143,0
169,0.72919,128.00000,129.85714,0
170,0.73353,129.00000,128.71429,0
171,0.73787,126.00000,128.85714,0
172,0.74221,129.00000,129.42857,0
173,0.74655,129.00000,130.71429,0
174,0.75089,131.00000,132.14286,0
175,0.75523,134.00000,134.28571,0
176,0.75957,137.00000,136.28571,0
177,0.76391,139.00000,138.85714,0
178,0.76825,141.00000,140.71429,0
179,0.77260,143.00000,142.00000,0
180,0.77694,147.00000,142.85714,0
181,0.78128,144.00000,143.00000,0
182,0.78562,143.00000,143.14286,0
183,0.78996,143.00000,143.71429,0
184,0.79430,140.00000,143.85714,0
185,0.79864,142.00000,144.42857,0
186,0.80298,147.00000,145.42857,0
187,0.80732,148.00000,146.57143,0
188,0.81166,148.00000,147.57143,0
189,0.81600,150.00000,148.00000,1
190,0.82034,151.00000,146.85714,0
191,0.82468,147.00000,145.00000,0
192,0.82902,145.00000,142.42857,0
193,0.83336,139.00000,139.57143,0
194,0.83770,135.00000,136.42857,0
195,0.84204,130.00000,133.42857,0
196,0.84638,130.00000,130.71429,0
197,0.85072,129.00000,128.85714,0
198,0.85506,126.00000,128.00000,0
199,0.85940,126.00000,127.42857,0
200,0.86374,126.00000,127.57143,0
201,0.86808,129.00000,129.00000,0
202,0.87242,126.00000,131.71429,0
203,0.87677,131.00000,136.00000,0
204,0.88111,139.00000,139.71429,0
205,0.88545,145.00000,142.42857,0
206,0.88979,156.00000,144.14286,0
207,0.89413,152.00000,-999.00000,0
208,0.89847,148.00000,-999.00000,0
209,0.90281,138.00000,-999.00000,0
